[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
194:35903874:d=2016042018:VVEL:950 mb:anl:
195:36236538:d=2016042018:UGRD:950 mb:anl:
196:36403097:d=2016042018:VGRD:950 mb:anl:
197:36571188:d=2016042018:ABSV:950 mb:anl:
198:36796277:d=2016042018:CLWMR:950 mb:anl:
199:36905204:d=2016042018:HINDEX:surface:anl:
200:36959826:d=2016042018:HGT:975 mb:anl:
201:37232260:d=2016042018:TMP:975 mb:anl:
202:37368661:d=2016042018:RH:975 mb:anl:
203:37598810:d=2016042018:VVEL:975 mb:anl:
204:37917805:d=2016042018:UGRD:975 mb:anl:
205:38085509:d=2016042018:VGRD:975 mb:anl:
206:38253125:d=2016042018:ABSV:975 mb:anl:
207:38476765:d=2016042018:CLWMR:975 mb:anl:
208:38544795:d=2016042018:TMP:1000 mb:anl:
209:38681991:d=2016042018:RH:1000 mb:anl:
210:38907426:d=2016042018:VVEL:1000 mb:anl:
211:39203341:d=2016042018:UGRD:1000 mb:anl:
212:39473983:d=2016042018:VGRD:1000 mb:anl:
213:39739579:d=2016042018:ABSV:1000 mb:anl:
214:39960900:d=2016042018:CLWMR:1000 mb:anl:
215:39996553:d=2016042018:MSLET:mean sea level:anl:
216:40272236:d=2016042018:HGT:1000 mb:anl:
217:40550590:d=2016042018:PRES:surface:anl:
218:40810660:d=2016042018:HGT:surface:anl:
219:41017350:d=2016042018:TMP:surface:anl:
220:41183899:d=2016042018:TSOIL:0-0.1 m below ground:anl:
221:41283521:d=2016042018:SOILW:0-0.1 m below ground:anl:
222:41382331:d=2016042018:TSOIL:0.1-0.4 m below ground:anl:
223:41515034:d=2016042018:SOILW:0.1-0.4 m below ground:anl:
224:41611174:d=2016042018:TSOIL:0.4-1 m below ground:anl:
225:41743313:d=2016042018:SOILW:0.4-1 m below ground:anl:
226:41840339:d=2016042018:TSOIL:1-2 m below ground:anl:
227:41970988:d=2016042018:SOILW:1-2 m below ground:anl:
228:42067799:d=2016042018:WEASD:surface:anl:
229:42118704:d=2016042018:SNOD:surface:anl:
230:42193497:d=2016042018:TMP:2 m above ground:anl:
231:42345632:d=2016042018:SPFH:2 m above ground:anl:
232:42555696:d=2016042018:DPT:2 m above ground:anl:
233:42714866:d=2016042018:RH:2 m above ground:anl:
234:42940783:d=2016042018:var discipline=0 master_table=2 parmcat=0 parm=21:2 m above ground:anl:
235:43114289:d=2016042018:UGRD:10 m above ground:anl:
236:43376783:d=2016042018:VGRD:10 m above ground:anl:
237:43635000:d=2016042018:CPOFP:surface:anl:
238:43777506:d=2016042018:WILT:surface:anl:
239:43872526:d=2016042018:FLDCP:surface:anl:
240:43970269:d=2016042018:SUNSD:surface:anl:
241:43998947:d=2016042018:LFTX:surface:anl:
242:44149823:d=2016042018:CAPE:surface:anl:
243:44313057:d=2016042018:CIN:surface:anl:
244:44418615:d=2016042018:PWAT:entire atmosphere (considered as a single layer):anl:
245:44577839:d=2016042018:CWAT:entire atmosphere (considered as a single layer):anl:
246:44698206:d=2016042018:RH:entire atmosphere (considered as a single layer):anl:
247:44794016:d=2016042018:TOZNE:entire atmosphere (considered as a single layer):anl:
248:44948189:d=2016042018:HLCY:3000-0 m above ground:anl:
249:45142734:d=2016042018:USTM:6000-0 m above ground:anl:
250:45311641:d=2016042018:VSTM:6000-0 m above ground:anl:
251:45476152:d=2016042018:PRES:tropopause:anl:
252:45786493:d=2016042018:ICAHT:tropopause:anl:
253:46112849:d=2016042018:HGT:tropopause:anl:
254:46404402:d=2016042018:TMP:tropopause:anl:
255:46530050:d=2016042018:UGRD:tropopause:anl:
256:46675309:d=2016042018:VGRD:tropopause:anl:
257:46813839:d=2016042018:VWSH:tropopause:anl:
